Address;Title;Description;Rooms;Living Space (sqm);Price
2714 Les Genevez JU;Appartements exclusifs et lumineux;Appartements exclusifs et lumineux avec exposition sud-ouest et une vue imprenable et dégagée sur la campagne. Ils émergent de la terre dans un environnement calme à proximité de la ville et à quelques mètres de la forêt.Les 6 habitations sont dotées de grandes terrasses et de jardins privatifs pour les rez-de-chaussée.L’immeuble se compose de 3 appartements de 3.5 pièces et de 3 appartements de 4.5 pièces, distribués dans une construction de 3 niveaux aux finitions de qualité. Tous les étages sont desservis par un ascenseur.Au sous-sol, des caves généreuses, un abri PC/grand local à vélos offrent un confort accru aux habitants.A l’extérieur, des places de parcs et un jardin commun avec aménagements/jeux viennent compléter parfaitement la gamme des installations.Ces appartements neufs sont construits sur la parcelle 1700 de la commune des Genevez, village tranquille qui profite évidemment de la proximité de grandes villes et de l'autoroute A16.Dès CHF 319'000.—;3.5 rooms;75m²;CHF 319,000.–
2933 Damphreux;Maison neuve avec piscine et beaucoup d'espace;Cette maison individuelle spacieuse et indépendante avec garage double et piscine se trouve dans un endroit magnifique et calme.Cette propriété offre beaucoup d'espace et de nombreux avantages.Les finitions de qualité et la superbe architecture ne sont que quelques-uns des atouts de cette propriété.La nouvelle construction a déjà commencé et la maison sera donc déjà prête à être occupée dans quelques mois. Profitez de cette offre et jugez-en par vous-même ! Cette offre CASA VERA se caractérise par les avantages suivants : • Nouvelle construction • Moderne • Situation calme • Beaucoup d'espace • Grand terrain • Piscine exclusiv • Double garage • Parking extérieur • Finitions de haute qualité • Sphère privée • Dressing-room Vous êtes intéressé(e) ? Contactez-nous pour une visite sans engagement !Vous souhaitez vendre votre maison ou votre appartement sans souci, mais vous ne savez pas à quel prix vous pouvez le vendre ?Nous vous indiquons la valeur actuelle de votre bien sur le marché, en toute discrétion et sans engagement !Vous êtes intéressé par un premier entretien d'information gratuit et sans engagement ?N'hésitez pas à nous contacter.;5.5 rooms;200m²;CHF 920,000.–
2954 Asuel;Construction de 2 villas de haut standing;;170m²;;Price on request
Rue Pierre-Péquignat 11, 2900 Porrentruy;Exclusivité - Immeuble de rendement rénové à Porrentruy;Teepee Real Estate a l’honneur de vous proposer en exclusivité un morceau du patrimoine Bruntrutain, à travers ce magnifique immeuble de 5 étages entièrement rénové en 2021.Le bâtiment se compose de:• Rez-de-chaussée: une surface commerciale• 1er étage: un appartement de 4,5 pièces• 2ème étage: un appartement de 4,5 pièces• 3ème étage: un appartement de 3,5 pièces• 4ème étage: un appartement de 3,5 pièces• 5ème étage: un duplex de 2,5 piècesSitué en plein coeur de la vieille ville de Porrentruy, jouxtant l’Hôtel des Halles, Office de la Culture du Canton du Jura et assis sur la toute nouvelle rue Pierre-Péquignat, qui a récemment fait peau neuve pour près de CHF 2’000’000.-, cette bâtisse historique saura être un placement sûr et offrant un rendement confortable et une qualité de vie certaine aux locataires.Une PPE a été créée pour tous les lots et confère à son futur acquéreur une liberté supplémentaire de vendre une partie de ses biens.Autre avantage d’importance à ne pas négliger, l’hypothèque actuelle peut être reprise à un taux exceptionnel de seulement 1,05% jusqu’en 2030 auprès de la Banque Valiant.Ce bien se trouve sur la parcelle n° 259 du ban de Porrentruy, sa valeur ECA est de CHF 2'500'000.- et sa valeur fiscale est de CHF 1'396'300.-Avons-nous suscité votre intérêt ? N'hésitez pas à nous contacter afin d'organiser une visite des lieux !Dossier complet sur demande.;607m²;;Price on request
2900 Porrentruy;Immeuble locatif très bien rénové!;;;;Price on request
2933 Lugnez;Maison à rénover! Avec beaucoup de potentiel;;4.5 rooms;164m²;CHF 190,000.–
2943 Vendlincourt;Magnifique maison à plain-pied!;;3.5 rooms;185m²;Price on request
2926 Boncourt;AU CENTRE PROCHE DE LA GARE;L’appartement est situé au centre de Boncourt proche de la gare et entièrement rénové. Il se compose: d'une cuisine ouverte sur le salon, de deux grandes chambres, une salle de bain et un cellier. Le chauffage est central collectif mais équipé d'un compteur à calories indépendant, ce qui rend une consommation entièrement indépendante et très bonne isolation de l'ensemble. L'appartement dispose: d'une buanderie en sous-sol équipée de prises, arrivée d'eau, évacuation, étagères de rangement, permettant l'installation de lave-linge, sèche-linge, congélateur et autres rangements divers. Des places de parking en extérieur sont disponible sur demande.Cette offre de BETTERHOMES se caractérise par les avantages suivants: - spacieux- neuf- lumineux- au centre du village- places de parc- etc., etc., etc. ...Intéressé? Contactez-nous pour une visite gratuite!Rien qui correspond? Vous trouverez plus de 2'300 autres objets sur: www.betterhomes.ch - Le spécialiste suisse des transactions immobilières.Vous avez un bien immobilier à commercialiser?Profitez de notre savoir-faire: https://www.betterhomes.ch/fr/profiterVous souhaitez connaître la valeur de votre bien immobilier?Découvrez sa valeur dès maintenant grâce à notre estimation gratuite, immédiate et sans engagement!https://www.betterhomes.ch/fr/knowledge/estimationPlus détailsSituation: au centre du villageEtat du bâtiment: appartement neufSalles de bain: 1 (1 x baignoire / WC / lavabo)Transport publics: train, 300 mEcole: école primaire / secondaire, 500 mCommerces: Coop, 300 m;3.5 rooms;85m²;CHF 160,000.–
2942 Alle;TRÈS BELLE OPPORTUNITÉE;Vous rêvez d'une maison spacieuse avec un grand potentiel et beaucoup de volume? Cette maison individuelle située au cœur du village d'Alle est faite pour vous! Avec ses 25 pièces, sa surface habitable de 450 m² et son terrain de 1117 m², elle offre de nombreuses possibilités. Idéale pour créer des appartements ou simplement profiter d'un espace de vie généreux, cette propriété dispose également d'une place de parc et d'un espace jardin. Ne manquez pas cette opportunité unique!Cette offre de BETTERHOMES se caractérise par les avantages suivants: - grand potentiel- beaucoup de volume- idéal pour créer des appartements- place de parc- espace jardin- au centre du village- etc., etc., etc. ...Intéressé? Contactez-nous pour une visite gratuite!Rien qui correspond? Vous trouverez plus de 2'300 autres objets sur: www.betterhomes.ch - Le spécialiste suisse des transactions immobilières.Vous avez un bien immobilier à commercialiser?Profitez de notre savoir-faire: https://www.betterhomes.ch/fr/profiterVous souhaitez connaître la valeur de votre bien immobilier?Découvrez sa valeur dès maintenant grâce à notre estimation gratuite, immédiate et sans engagement!https://www.betterhomes.ch/fr/knowledge/estimationPlus détailsSituation: au centre du villageEtat du bâtiment: a rénovéSalles de bain: 2 (1 x douche / WC / lavabo, 1 x baignoire / WC / lavabo)Transport publics: bus, 50 mEcole: école primaire / secondaire, 500 mCommerces: Coop, 300 m;25 rooms;450m²;CHF 570,000.–
2800 Delémont;GROSSZÜGIG, MODERN MIT WEITBLICK UND GARTEN;Diese traumhafte, moderne Villa befindet sich an exklusiver Lage mit fantastischem, unverbaubarem Weitblick in die Jurassischen Berge. Die hochmoderne Bauweise spiegelt sich sowohl im komplett durchdachten Innenbereich als auch der Aussenanlage wider. Dazu gehören z. B. der Zugang mittels Fingerabdrucksensor, eine Alarmanlage, hochwertige Küchengeräte der Marke Miele, elektrische Storen und Dachfenster, Bodenheizung, eine Sprinkleranlage im Garten sowie die Möglichkeit einen Lift im Gebäude nachzurüsten. Zudem verfügt das Haus über eine sehr grosse Garage. Vor einem Jahr wurde frisch gestrichen und es wurde ein Gartenzaun um das Grundstück montiert.Dieses BETTERHOMES-Angebot zeichnet sich durch folgende Vorteile aus:- modern- exklusive Lage- traumhafter Weitblick- unverbaubare Aussicht- grosszügige Wohnfläche- Hobbyraum- hochwertige Küchengeräte- Alarmanlage- grosser, eingzäunter Garten- elektrische Storen- und, und, und ...Interessiert? Kontaktieren Sie uns für eine unverbindliche Besichtigung – auch Online-Besichtigung möglich!Nichts Passendes gefunden? Über 2'300 weitere Angebote unter: www.betterhomes.ch - der Immobilienfairmittler®Selber eine Immobilie zu vermarkten?Profitieren Sie von unserem Know-how: https://www.betterhomes.ch/de/profitierenSie möchten eine Immobilie schätzen lassen?Erfahren Sie jetzt ihren Wert über unsere Gratis-Schätzung, sofort und unverbindlich!https://www.betterhomes.ch/de/knowledge/estimationMehr DetailsLage: diese Villa befindet sich an bester LageZustand: sehr gutBäder / Nasszellen: 4 (1 x Badewanne / WC / Lavabo, 3 x Dusche / WC / Lavabo)Heizsystem: WärmepumpeÖffentliche Verkehrsmittel: Bus, 350 mSchulen: Hochschule, 1.6 kmGeschäfte: Jumbo, 1.1 km / Coop, 1 0x72a36 0y16c54d15 0xd5x37xe1xb3.3 km / Migros, 1...6 km;7.5 rooms;300m²;Price on request
