Address;Title;Description;Rooms;Living Space (sqm);Price
Im Hinterengeli 6, 4125 Riehen;DOPPELEINFAMILIENHAUS MIT BESTECHENDER WEITSICHT UND ZWEI PARKPLÄTZEN;"Die Gemeinde Riehen wurde im Mai 2022 von Schweiz Tourismus und dem Bundesamt für Kultur als eine von 50 sehenswerten Schweizer Ortschaften prämiert. Bekräftigt wird die Auszeichnung durch die gute Infrastruktur, ein ansprechendes Schulsystem und der Kombination aus ländlichem Wohngefühl mit städtischen Charakterzügen. Besonders hervorzuheben ist die angrenzende Landschaftsschutzzone, welche die Überbauung ""Im Hinterengeli"" harmonisch ins Grüne einbettet. Durch die leicht erhöhte Lage geniessen Sie eine bestechende Weitsicht über die Dächer von Riehen. Insgesamt acht Zimmer, verteilt auf knapp 200m2 Wohnfläche, bieten gerade Familien die gewünschten Platzverhältnisse. Zwei separate Hauseingänge ermöglichen Wohnen und Arbeiten unter einem Dach bzw. ist durch die interessante Raumaufteilung das Zusammenleben von mehreren Generationen möglich. Hochwertige Bodenbeläge, zwei Badezimmer mit Dusche oder Badewanne und ein separates Gäste-WC bieten den gewünschten Komfort. Durch den sukzessiven Unterhalt präsentiert sich die Liegenschaft heute in einem äusserst gepflegten Zustand und kann per sofort bezogen werden. Ferner wurde das Heizsystem im Jahr 2014 ersetzt. Für Ihre Fahrzeuge stehen in der gemeinschaftlichen Tiefgarage zwei Autoeinstellplätze zur Verfügung, welche im Kaufpreis inbegriffen sind. • im idyllischen Riehen • angrenzend an die Landschaftsschutzzone • harmonisch ins Grüne eingebettet • bestechende Weitsicht über die Dächer von Riehen • verschiedene Gartensitzplätze mit viel Privatsphäre • Hauseingang im EG und Hauseingang im UG • knapp 200m2 Wohnfläche verteilt auf acht Zimmer • sukzessiver Unterhalt und äusserst gepflegt • Heizsystem im Jahr 2014 ersetzt • Zimmer im Dachgeschoss kann unterteilt werden • zwei Badezimmer mit Dusche oder Badewanne • separates Gäste-WC • zwei Autoeinstellplätze in der Tiefgarage Wir freuen uns auf Ihre Kontaktaufnahme!";8 rooms;193m²;CHF 1,880,000.–
Conrad Ferdinand Meyer-Strasse 32, 4059 Basel;Mit viel Potenzial - auf dem Bruderholz;AusstattungPer sofort oder nach Vereinbarung verkaufen wir auf dem Bruderholz diese sonnige, grosszügige 4.5-Zimmerwohnung im 2. OG mit nachfolgendem Ausbaustandard: • Grosses Entrée mit Wandschränken • Küche mit Geschirrspüler, Dampfabzug und Balkon • Bad/Dusche • Dusche/WC • Grosses Wohnzimmer • Balkon mit Reduit • Keller • Garagenbox Wir freuen uns auf Ihre Kontaktaufnahme.;4.5 rooms;108m²;CHF 1,100,000.–
Leimgrubenweg 50, 4125 Riehen;Architekturperle - 7-Zimmer-Einfamilienhaus an bester Lage in Riehen;;7 rooms;276m²;CHF 2,800,000.–
Niederholzstrasse 38, 4125 Riehen;3,5-Zimmer-Dachwohnung mit Galerie und viel Flair;;3.5 rooms;108m²;CHF 860,000.–
Sierenzerstrasse 23, 4055 Basel;Wohnen im beliebten Iselin - Quartier in Basel;;3.5 rooms;86m²;CHF 775,000.–
Burgstrasse 73, 4125 Riehen;5,5-Zimmer-Maisonette-Dachwohnung an bester Lage in Riehen;;5.5 rooms;177m²;CHF 1,580,000.–
Aeussere Baselstrasse 143, 4125 Riehen;5-Zimmer-Reiheneinfamilienhaus;;5 rooms;137m²;CHF 1,380,000.–
4125 Riehen;Erfüllen Sie sich Ihren Traum von einer tollen Dachwohnung;Inmitten des städtischen sowie ländlichen Riehens befindet sich diese schöne Eigentumswohnung in einem gepflegten Wohnhaus, welches 1996 total saniert wurde. Die Dachgeschosswohnung erstreckt sich über eine Wohnfläche von ca. 85 m² und verteilt sich auf 2.5 Zimmern mit Galerien im Wohn- und Schlafzimmer.Zudem besticht Ihr neues Zuhause durch folgende Eckdaten:- Parkettböden- Schwedenofen- Keller- und Vorratsraum- und vieles mehrAusserdem haben wir Ihnen ein tolles Modernisierungskonzept für die Wohnung zusammengestellt. Die Renovationskosten belaufen sich auf ca. CHF 160'000.? Darin enthalten sind neben Küche und Bad auch Böden, Fenster, Elektroinstallationen, das Streichen der Wände sowie einige Auffrischungsarbeiten.Der Totalpreis der Wohnung beläuft sich somit auf CHF 710'000.? (CHF 550'000.? Wohnung + ca. CHF 160'000.? für Renovationen).Für weitere Fragen zum Umbau stellen wir Ihnen gerne Informationen von Krüsi Raum GmbH zur Verfügung. Natürlich sind wir auch für andere Anliegen gerne für Sie da. Wir freuen uns über Ihre Kontaktaufnahme.;2.5 rooms;85m²;CHF 550,000.–
General Guisan-Strasse 115, 4054 Basel;Altersgerecht & grosszügig Wohnen im begehrten Bachlettenquartier;;4.5 rooms;153m²;CHF 1,695,000.–
Oberer Batterieweg 84, 4059 Basel;Erstbezug ab Mai 2024 -  grosszügige und helle Dachgeschoss-Maisonette-Wohnung - W6;"Im Grünen wohnen, in der Stadt leben.Das Mehrfamilienhaus mit 6 hochwertigen Eigentumswohnungen und AEH an exklusiver Lage ist in einem der schönsten Gebiete des Kantons Basel Stadt, dem Bruderholz, entstanden. Die Einheiten sind so angeordnet, dass jeder Wohnung viel Privatsphäre ermöglicht wird. Der städtische Garten basiert auf dem Konzept eines Landschaftsarchitekten. Die Anordnung des Gebäudes ist optimal auf Himmelsrichtung und Ausblick abgestimmt. Die Erschliessung zu Fuss und mit dem Auto erfolgt jeweils über den ""Oberer Batterieweg"".Die Maisonette-Wohnung W6 mit 5,5 Zimmern hat eine Nettowohnfläche von ca. 169 qm und bietet ein überdurchschnittlich hohes Ausbaubudgets. Neben Echtholzparkett sind hochwertige Einbaugeräte von Miele in der Küche eingebaut. Die Wohnung verfügt über ein Bad mit Badewanne, sowie über ein Bad mit Dusche und einem extra Gäste-WC. Der Anschluss für Waschmaschine und Tumbler ist in der Wohnung vorhanden. Mit dem Lift kommt man bequem von der Autoeinstellhalle direkt in die Wohnung. Ebenfalls verbindet der Lift intern die beiden Geschosse der Maisonettewohnung. Eine kontrollierte Wohnungslüftung und eine Fussbodenheizung sorgen für wohlige Wärme. Eine Loggia mit 17 qm rundet diese grosszügige und helle Wohnung ab.Der Bezug der Wohnung ist ab Mai 2024 möglich.Weitere detailierte Informationen auf der Homepage: www.bruderholz-batterie.ch oder bei einem unverbindlichen Gespräch Tel. 078 866 90 68, Herr G. Ferrara.";5.5 rooms;169m²;Price on request
St. Jakobs-Strasse 151, 4052 Basel;CHARAKTERISTISCHE ALTBAUWOHNUNG IN BAUMGARTNERHAUS;Eine Gelegenheit der besonderen Art in begehrtem Baumgartnerhaus - Durch die im Jahr 2011 erfolgte Kernsanierung der gesamten Liegenschaft präsentiert sich die Wohnung samt Gebäude in einem hervorragenden Zustand. Gerade die erhaltenen Altbauelemente, welche bei der Sanierung neu ins Leben gerufen wurden, verleihen den Räumlichkeiten einen ganz besonderen Charakter. Besonders hervorzuheben ist der Fischgrätt-Parkett aus dem Baujahr.Ein ganz besonderes Highlight ist das luxuriöse Badezimmer mit Badewanne und Dusche. Die moderne Küche, ein eigener Waschturm (Waschmaschine und Trockner) als auch diverse Einbauschränke sorgen für den gewünschten Komfort. Grosszügige Fensterflächen bieten eine herrliche Aussicht über die Dächer von Basel. Der grosszügige Balkon/Wintergarten mit Blick ins Grüne rundet das Gesamtbild ab.Hier finden sich Singles, Paare sowie kleine Familien, welche den charakteristischen Altbau zu schätzen wissen. • Festhypothek mit 1.0% Zinssatz bis 30.09.2029 • historisches Baumgartnerhaus mit Baujahr 1929 • nur fünf Wohnparteien • kernsaniert im Jahr 2011 • Fenster im Jahr 2023 ersetzt (dreifach Isolierverglasung) • charakteristischer Altbau • moderne Küche • fulminante Raumhöhe (2.66 Meter) • Balkon/Wintergarten mit Blick ins Grüne • eigener Waschturm in der Wohnung • Gartensitzplatz zur Mitbenutzung • hell und lichtdurchflutet • herrschaftliche Weitsicht über die Dächer von Basel • zahlreiche Einbauschränke • interessante Raumaufteilung Wir freuen uns auf Ihre Kontaktaufnahme!;4 rooms;101m²;CHF 1,150,000.–
Lehenmattstrasse 242, 4052 Basel;Schöne Wohnung direkt am St. Alban-Teich;Direkt am St. Alban-Teich altershalber zu verkaufen: Ruhig gelegene, lichtdurchflutete Wohnung im 5. OG in gepflegtem Mehrfamilienhaus mit offener Küche (Einbauten nach Mass) mit Geschirrspüler und Waschmaschine, Wohnzimmer mit Balkonzugang, zwei Schlafzimmer mit Parkettböden sowie Zugang auf einen zweiten Balkon mit Blick auf den St. Alban-Teich und Kellerabteil. Das Haus verfügt über einen Lift, Velokeller, Garten mit Grillplatz zur allgemeinen Nutzung. Öffentliche Verkehrsmittel, diverse Läden und Apotheke sind in wenigen Gehminuten erreichbar. Interessiert? Dann zögern Sie nicht und kontaktieren Sie mich.;3.5 rooms;72m²;CHF 740,000.–
