Address;Title;Description;Rooms;Living Space (sqm);Price
Farbstutz 1, 6166 Hasle LU;226m² Wohn(t)raum / Unschlagbare Preis-/ Leistung;;6.5 rooms;226m²;CHF 1,150,000.–
Am Mattenhof 1, 6010 Kriens;Pilatus Tower Kriens - Hoch hinaus in jeder Hinsicht;;5.5 rooms;176m²;CHF 2,538,000.–
Am Mattenhof 1, 6010 Kriens;Pilatus Tower Kriens - Hoch hinaus in jeder Hinsicht;;2.5 rooms;63m²;CHF 901,000.–
Rüediswilerstrasse 46, 6017 Ruswil;GrosszügigeAttikawohnung in Ruswil;;7.5 rooms;173m²;Price on request
Buchenrain 3, 6010 Kriens;Weitläufiges, sonnenverwöhntes Zuhause mit spektakulärer Panoramasicht;;6.5 rooms;222m²;CHF 1,775,000.–
Voltastrasse 3, 6005 Luzern;Stilvolles Mehrfamilienhaus an beliebter Wohnlage;;624m²;;Price on request
Bireggstrasse 22, 6003 Luzern;Mehrfamilienhaus an bevorzugter Lage mit historischem Charme;;688m²;;Price on request
Längweiherstrasse 60, 6014 Luzern;Charmante 3.5 Zimmer Wohnung in 6014 Luzern;;3.5 rooms;73m²;CHF 520,000.–
6247 Schötz;Doppeleinfamilienhaus in Schötz;;10.5 rooms;355m²;Price on request
Richenseerstrasse, 6294 Ermensee;Charmantes Wohneigentum;;5.5 rooms;129m²;CHF 720,000.–
Bahnhofstrasse Dorfpark, 6285 Hitzkirch;Grandioses Design in neuwertiger Wohnung;;4.5 rooms;118m²;CHF 1,250,000.–
Altweg, 6264 Pfaffnau;Atemberaubende 5.5-Zimmer- Attikawohnung zu verkaufen! 160m2 pures Wohlbefinden!;;5.5 rooms;153m²;CHF 1,075,000.–
Altweg, 6264 Pfaffnau;Faszinierende 3.5-Zimmer-Neubauwohnung in Pfaffnau zu verkaufen;;3.5 rooms;82m²;CHF 595,000.–
Altweg, 6264 Pfaffnau;Einzigartige 4.5-Zimmer-Gartenwohnung in Pfaffnau zu verkaufen;;4.5 rooms;105m²;CHF 795,000.–
Kantonsstrasse 37, 6234 Triengen;Mehrfamilienhaus mit 6 Einheiten in Triengen;;;;CHF 2,550,000.–
Schützenmatte 21, 6247 Schötz;Doppeleinfamilienhaus als Generationenhaus/ Therapieräume/ Büro;;11 rooms;336m²;CHF 1,850,000.–
Scheideggstrasse 17, 6045 Meggen;4.5-Zimmer-Chalet oder Baulandparzelle mit Bergpanorama und teilweise Seesicht;Auf der Baulandparzelle befindet sich ein idyllisches Chalet aus dem Jahr 1933. Die Liegenschaft liegt an bestens besonnter und ruhiger Lage in Meggen in der 2-geschossigen Wohnzone B.Vom Chalet hat man einen Blick auf das herrliche Bergpanorama sowie teilweise auf den Vierwaldstättersee.Einkaufsmöglichkeiten, Restaurants, Schulen und Kindergärten sind in ca. 15 Gehminuten oder wenigen Fahrminuten erreichbar. Die Anbindung an den öffentlichen Verkehr ist ebenfalls in kurzer Gehdistanz vorhanden.Verwirklichen Sie sich Ihren persönlichen Wohn- und Lebenstraum, wir freuen uns auf Ihre Kontaktaufnahme.Für weitere Informationen oder eine Besichtigung des Chalets stehen wir Ihnen gerne zur Verfügung.;4.5 rooms;;CHF 2,300,000.–
Unterdorfstrasse 18aa, 6213 Knutwil;Sonniges Platzwunder an ruhiger Lage: DEFH in sehr gepflegter Umgebung - ein Familientraum;Das geräumige Doppel-Einfamilienhaus ideal für Familien befindet sich im Grünen in unmittelbarer Nähe zum Dorfkern. Trotz der zentralen Lage finden Sie eine angenehme Ruhe auf der gepflegten Aussenfläche mit herrlichem Sonnenschein.Haus 18a • Grundstücksfläche 374 m2 • Wohnfläche ca. 142 m2 Highlights Haus 18a• grosszügiger gedeckter Sitzplatz • gepflegter Garten mit viel Grün• geräumiger Dachstock (70 m2) • Garage und Aussenparkplätze• heller, sehr grosszügiger Wohnraum mit direktem Zugang zum Garten• geräumiges Obergeschoss mit 4 Zimmern• nachhaltige Stückholzheizung mit FussbodenheizungERDGESCHOSSZum Hauseingang gelangt man über den Vorplatz auf Höhe der Garage, wo sich zwei Aussenparkplätze befinden. Im Erdgeschoss ist der Zugang zu den Kellerräumen, zur Waschküche/Heizraum.1. OBERGESCHOSS / GARTENIm 1. Obergeschoss befindet sich die einladende Garderobe, ein Arbeitszimmer, WC sowie die sehr geräumige Küche und der helle Wohnraum mit direktem Zugang zur ruhigen und besonnten Gartenfläche mit grosszügigem, gedeckten Aussensitzplatz.2. OBERGESCHOSSÜber das helle Treppenhaus gelangt man in das 2. Obergeschoss, wo sich die geräumigen 4 Zimmer, das Badezimmer und ein Balkon befinden. DACHGESCHOSSDas Dachgeschoss ist nicht ausgebaut, bietet jedoch eine grosse Fläche von rund 70 m2.Entnehmen Sie detaillierte Infos gerne der Verkaufsdokumentation.Informationen und BesichtigungMöchten Sie gerne einen persönlichen Augenschein nehmen oder haben Sie Fragen? Cheril Kaufmann 076 371 22 00 ist gerne für Sie da.;6.5 rooms;142m²;CHF 908,000.–
