Address;Title;Description;Rooms;Living Space (sqm);Price
2108 Couvet;"Nouveau Résidence ""Le Pontet"" / Appartements neuf en PPE balcon-terrasse parking intérieur";;1.5 rooms;;CHF 435,750.–
2035 Corcelles-Cormondrèche;Vue plongeante sur le Lac de Neuchâtel à Corcelles-Cormondrèche;"Nichée au coeur de la région du Littoral et à proximité du lac de Neuchâtel, Corcelles-Cormondrèche offre un cadre naturel magnifique etpréservé, qui permet aux résidants de vivre dans une atmosphère conviviale et paisible, protégés des nuisances urbaines. Sa situation et sa bonne desserte par les transports en communs facilitent les déplacements vers les villes environnantes et permet aux habitants de se trouver à proximité des commodités.Ce projet s'élèvera dans un quartier résidentiel et paisible. Les villas ont été pensées avec une attention particulière portée au confort, au design et aux matériaux, en vue d'assurer un lieu de vie idéal qui allie esthétisme, fonctionnalité et modernité, en accord avec les normes actuelles de construction.Les finitions de chaque villa sont au gré du preneur, ce qui permet ainsi une parfaite personnalisation des espaces.Deux place de stationnement extérieures sont vendues avec la villa en sus du prix de vente.La liste des villas disponibles peut être consultée sur www.villas-lakkos.chN'hésitez pas à nous contacter pour de plus amples informations ou pour une visite au 032 723 23 43, nous serons ravis de vous renseigner.***La Villa B est composée de 2.5 pièces réparties sur 3 niveaux :&gt; Rez inférieur :- 50 m2 habitables et 21 m2 de terrasse- 2 chambres avec accès terrasse- 1 salle de bain et 1 buanderie- 1 cave&gt; Rez supérieur : 63 m2 habitables et 33 m2 de terrasse- hall d'entrée avec armoire murale- cuisine ouverte sur le séjour- espace économat- 1 toilette&gt; 1er étage : 61 m2 habitables et 18 m2 de balcon- 2 chambres et 1 salle de bain dans le couloir- 1 chambre parentale avec espace dressing, salle de bain attenante et accès balconLes deux places de parking extérieures sont situées à l'entrée de la villa.";2.5 rooms;210m²;CHF 2,303,250.–
Rue Edouard-Dubied 13, 2108 Couvet;Appt PPE neuf de 1.5 pces avec balcon Campagne Pernod, lot A5;;1.5 rooms;24m²;CHF 521,650.–
Rue Edouard-Dubied 13, 2108 Couvet;Appt PPE neuf de 1.5 pces avec terrasse Campagne Pernod, lot A1;;1.5 rooms;17m²;CHF 422,050.–
Rue de Corcelles 12, 2034 Peseux;Appartement de 2.5 pièces - rez de jardin;;2.5 rooms;140m²;CHF 1,220,100.–
Rue de la Dîme 9, 2000 Neuchâtel;"""Très bien située, parfait pour du rendement";Appartement de 1.5 pièces refait à neuf lors d'une rénovation complète du bâtiment. • Séjour / Cuisine • Salle de bain • Chambre • Buanderie • Cave À proximité des transports publics. Ecoles et commerces accessibles à pied.Travaux en cours, livraison pour mars 2025 au plus tard.9% de rendement sur fonds propres.Plus d'informations disponibles sur demande.;1.5 rooms;13m²;CHF 432,010.–
Rue Edouard-Dubied 13, 2108 Couvet;Appt PPE neuf de 1.5 pces avec balcon Campagne Pernod, lot A4;;1.5 rooms;18m²;CHF 443,220.–
Rue Edouard-Dubied 13, 2108 Couvet;Appt PPE neuf de 1.5 pces avec balcon Campagne Pernod, lot A7;;1.5 rooms;18m²;CHF 443,220.–
Rue Crêt-Debély 21, 2053 Cernier;Nouvelle construction  - Appartement de 2.5 pièces avec balcon;;2.5 rooms;130m²;CHF 989,770.–
Rue Edouard-Dubied 13, 2108 Couvet;Villa mitoyenne neuve de 2.5 pces, lot 3G Campagne Pernod, Couvet;;2.5 rooms;160m²;CHF 1,057,000.–
2000 Neuchâtel;SUBLIME ATTIQUE NEUF AVEC UNE VUE LAC IMPRENABLE !;;2.5 rooms;210m²;CHF 1,861,270.–
St-Aubin-Sauges, 2024 St-Aubin-Sauges;Du neuf et beaucoup d'authenticité;;2.5 rooms;140m²;CHF 958,650.–
St-Aubin-Sauges, 2024 St-Aubin-Sauges;La Caramèle - Appartements de 2.5 pièces;;2.5 rooms;150m²;CHF 1,058,250.–
Rue Crêt-Debély 19, 2053 Cernier;Nouvelle construction  - Appartement de 2.5 pièces au 2ème étage;;2.5 rooms;27m²;CHF 896,400.–
2414 Le Cerneux-Péquignot;HAVRE DE PAIX AU COEUR DE LA VALLÉE;;210m²;;Price on request
Rue Edouard-Dubied 13, 2108 Couvet;Villa mitoyenne neuve de 2.5 pces, lot 2D Campagne Pernod, Couvet;;2.5 rooms;160m²;CHF 1,057,000.–
St-Aubin-Sauges, 2024 St-Aubin-Sauges;La Caramèle - Appartements de 1.5 pièces;;1.5 rooms;17m²;CHF 541,570.–
Rue Edouard-Dubied 13, 2108 Couvet;Villa mitoyenne neuve de 2.5 pces, lot 1G Campagne Pernod, Couvet;;2.5 rooms;160m²;CHF 1,057,000.–
Rue Edouard-Dubied 13, 2108 Couvet;Villa mitoyenne neuve de 2.5 pces, lot 1D  Campagne Pernod, Couvet;;2.5 rooms;160m²;CHF 1,057,000.–
Rue Crêt-Debély 19, 2053 Cernier;Nouvelle construction  - Appartement de 1.5 pièces en 1er étage;;1.5 rooms;16m²;CHF 454,420.–
2523 Lignières;Détente et bien-être garantis (Villa C);Nouvelle promotion au coeur d'un superbe quartier !Située dans un cadre calme, cette villa saura vous charmer par son haut standing ainsi que par son architecture moderne et écologique. Le choix des finitions et des aménagements est au gré des acquéreurs.En entrant, vous découvrirez un hall doté d’une armoire murale qui vous permettra d’accueillir vos invités confortablement. Dans la partie jour, vous trouverez une vaste et lumineuse pièce de vie. Elle est pourvue d'un séjour et d'un espace dînatoire communiquant avec une cuisine à l'américaine. Cette dernière sera entièrement équipée avec des électroménagers de qualité et des matériaux de standing. Grâce à ses belles baies vitrées, vous bénéficierez d’un accès direct à sa grande terrasse et à son jardin privatif afin de profiter des journées ensoleillées. Une salle de bains avec douche vient compléter agréablement ce niveau.En découvrant la partie supérieure, l'espace nuit se compose de trois spacieuses et lumineuses chambres à coucher, dont une magnifique suite parentale avec salle d’eau privative. Une salle de bains a été conçue sur ce même étage pour agrémenter ces belles chambres et pour vous offrir tout le confort nécessaire au bien-être.Un soin tout particulier sera apporté aux aménagements extérieurs avec une belle terrasse ainsi qu'un jardin privatif joliment aménagé. À noter que cette villa est excavée et bénéficie dans son sous-sol d'un local technique avec buanderie, d'une cave et d'un disponible. De plus, vous serez au bénéfice d’une place de parc extérieure et d'une place couverte à CHF 26'000.- en SUS du prix de vente.N'hésitez plus et contactez-moi afin de profiter de cette magnifique opportunité ! Grégory Seydoux - Courtier - 079 734 24 17;2.5 rooms;150m²;CHF 1,108,050.–
St-Aubin-Sauges, 2024 St-Aubin-Sauges;La Caramèle - Appartements de 1.5 pièces;;1.5 rooms;24m²;CHF 728,320.–
Le Verger 5, 2075 Thielle;Sur plans ! Appartements de 1.5 à 4,5 pièces dès CHF 415'000.-;;1.5 rooms;15m²;CHF 516,670.–
Rue de Montilier, 2523 Lignières;Villa C en PPE de 2.5 pièces moderne et écologique;;2.5 rooms;160m²;CHF 1,108,050.–
2056 Dombresson;Villa individuelle neuve et finissions à choix!;;2.5 rooms;140m²;CHF 1,089,370.–
Rue Crêt-Debély 19, 2053 Cernier;Nouvelle construction  - Appartement de 2.5 pièces au 1er étage;;2.5 rooms;25m²;CHF 697,200.–
Rue Edouard-Dubied 13, 2108 Couvet;Attique neuf de 2.5 pces de 123 m2 + terrasse de 127 m2 Lot A10;;2.5 rooms;140m²;CHF 915,070.–
Rue Edouard-Dubied 13, 2108 Couvet;Villa mitoyenne neuve de 2.5 pces, lot 2G Campagne Pernod, Couvet;;2.5 rooms;160m²;CHF 1,057,000.–
Orée, 2208 Les Hauts-Geneveys;Vente sur plan - Superbe villa de qualité;;2.5 rooms;170m²;CHF 1,606,050.–
